pure Cu,,,
循环序号,充电容量(Ah),放电容量(Ah),充放电效率(%)
1,0.000002,0.000023,10.442
2,0.000002,0.000004,63.203
3,0.000002,0.000003,71.495
4,0.000002,0.000003,76.313
5,0.000002,0.000003,79.482
6,0.001055,0.00112,94.17
7,0.001069,0.00112,95.395
8,0.001076,0.00112,96.068
9,0.001074,0.00112,95.924
10,0.001071,0.00112,95.645
11,0.001066,0.00112,95.218
12,0.001063,0.00112,94.917
13,0.001062,0.00112,94.851
14,0.001064,0.00112,95.004
15,0.001062,0.00112,94.851
16,0.001034,0.00112,92.296
17,0.000991,0.00112,88.448
18,0.000943,0.00112,84.206
19,0.000952,0.00112,84.973
20,0.000962,0.00112,85.885
21,0.000969,0.00112,86.447
22,0.000993,0.00112,88.612
23,0.001015,0.001121,90.616
24,0.001016,0.001121,90.653
25,0.001042,0.001121,93.003
26,0.001071,0.001121,95.523
27,0.001083,0.001121,96.635
28,0.001098,0.00112,97.956
29,0.001057,0.00112,94.351
30,0.001068,0.00112,95.319
31,0.001076,0.00112,96.058
32,0.001079,0.00112,96.347
33,0.001073,0.00112,95.769
34,0.001073,0.00112,95.813
35,0.001067,0.00112,95.201
36,0.001081,0.00112,96.474
37,0.001074,0.00112,95.892
38,0.001068,0.00112,95.302
39,0.001071,0.00112,95.565
40,0.001082,0.00112,96.558
41,0.001074,0.00112,95.869
42,0.001068,0.00112,95.291
43,0.001069,0.00112,95.396
44,0.001072,0.001121,95.629
45,0.001069,0.001121,95.317
46,0.001082,0.001121,96.478
47,0.00107,0.001121,95.439
48,0.001073,0.001121,95.706
49,0.001077,0.001121,96.081
50,0.001074,0.001121,95.778
51,0.001069,0.001121,95.367
52,0.001074,0.001121,95.817
53,0.001071,0.001121,95.572
54,0.001065,0.001121,95.017
55,0.001073,0.001121,95.672
56,0.001071,0.001121,95.534
57,0.001065,0.001121,94.975
58,0.00107,0.001121,95.468
59,0.001067,0.001121,95.209
60,0.001066,0.001121,95.097
61,0.001059,0.00112,94.562
62,0.001064,0.00112,94.995
63,0.001061,0.001121,94.674
64,0.001062,0.00112,94.761
65,0.001066,0.001121,95.131
66,0.001068,0.001121,95.263
67,0.001067,0.001121,95.136
68,0.001061,0.001121,94.6
69,0.001067,0.001121,95.183
70,0.001068,0.001121,95.283
71,0.001066,0.001121,95.056
72,0.001065,0.001121,94.987
73,0.001068,0.001121,95.244
74,0.001072,0.001121,95.596
75,0.001068,0.001121,95.294
76,0.001069,0.001121,95.348
77,0.001081,0.001121,96.411
78,0.001068,0.001121,95.3
79,0.00107,0.001121,95.411
80,0.00107,0.001121,95.401
81,0.001072,0.001121,95.584
82,0.001071,0.001121,95.561
83,0.001073,0.001121,95.672
84,0.001063,0.001121,94.828
85,0.001072,0.001121,95.644
86,0.001069,0.001121,95.389
87,0.00107,0.00112,95.514
88,0.001062,0.00112,94.763
89,0.001067,0.00112,95.202
90,0.001061,0.00112,94.707
91,0.001063,0.00112,94.852
92,0.001062,0.00112,94.746
93,0.001054,0.00112,94.062
94,0.00106,0.00112,94.623
95,0.001062,0.00112,94.789
96,0.001063,0.00112,94.843
97,0.001063,0.001121,94.866
98,0.001055,0.00112,94.126
99,0.001063,0.00112,94.877
100,0.001055,0.00112,94.119
101,0.001061,0.00112,94.735
102,0.001058,0.00112,94.39
103,0.00106,0.00112,94.59
104,0.001061,0.00112,94.735
105,0.001053,0.00112,94.029
106,0.00106,0.00112,94.613
107,0.00106,0.00112,94.657
108,0.001047,0.00112,93.506
109,0.00105,0.00112,93.739
110,0.00105,0.00112,93.729
111,0.001051,0.00112,93.799
112,0.001038,0.00112,92.699
113,0.001047,0.00112,93.407
114,0.001044,0.00112,93.223
115,0.001042,0.00112,92.973
116,0.001042,0.00112,93.039
117,0.00108,0.00112,96.414
118,0.001109,0.00112,99.027
119,0.001778,0.00112,158.724
120,0.00068,0.00112,60.685
121,0.001597,0.00112,142.573
122,0.001013,0.00112,90.38
123,0.001083,0.00112,96.648
124,0.001062,0.00112,94.788
125,0.001781,0.00112,158.984
